song,singer,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Rhythm Is A Dancer - 12'' Version,SNAP!,spotify:track:6NLAzDPHSlV2bl7XbmivOq,0.767,0.869,9,-7.323,0,0.0334,0.111,0.0688,0.0815,0.849,124.254,audio_features,6NLAzDPHSlV2bl7XbmivOq,spotify:track:6NLAzDPHSlV2bl7XbmivOq,https://api.spotify.com/v1/tracks/6NLAzDPHSlV2bl7XbmivOq,https://api.spotify.com/v1/audio-analysis/6NLAzDPHSlV2bl7XbmivOq,316138,4
Believe,Cher,spotify:track:2goLsvvODILDzeeiT4dAoR,0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,audio_features,2goLsvvODILDzeeiT4dAoR,spotify:track:2goLsvvODILDzeeiT4dAoR,https://api.spotify.com/v1/tracks/2goLsvvODILDzeeiT4dAoR,https://api.spotify.com/v1/audio-analysis/2goLsvvODILDzeeiT4dAoR,239027,4
U Can't Touch This,MC Hammer,spotify:track:1B75hgRqe7A4fwee3g3Wmu,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,audio_features,1B75hgRqe7A4fwee3g3Wmu,spotify:track:1B75hgRqe7A4fwee3g3Wmu,https://api.spotify.com/v1/tracks/1B75hgRqe7A4fwee3g3Wmu,https://api.spotify.com/v1/audio-analysis/1B75hgRqe7A4fwee3g3Wmu,257360,4
Liquid Dreams,O-Town,spotify:track:2Pxzfzd1jaZT2F2uqLkZUr,0.823,0.7,0,-5.042,0,0.035,0.0264,0.0,0.0531,0.75,108.019,audio_features,2Pxzfzd1jaZT2F2uqLkZUr,spotify:track:2Pxzfzd1jaZT2F2uqLkZUr,https://api.spotify.com/v1/tracks/2Pxzfzd1jaZT2F2uqLkZUr,https://api.spotify.com/v1/audio-analysis/2Pxzfzd1jaZT2F2uqLkZUr,210400,4
Bailando - Video Edit,Paradisio,spotify:track:7cG3wfohoNDSp2M8FWrgTg,0.649,0.955,8,-7.817,0,0.0388,0.0941,0.00899,0.108,0.83,132.993,audio_features,7cG3wfohoNDSp2M8FWrgTg,spotify:track:7cG3wfohoNDSp2M8FWrgTg,https://api.spotify.com/v1/tracks/7cG3wfohoNDSp2M8FWrgTg,https://api.spotify.com/v1/audio-analysis/7cG3wfohoNDSp2M8FWrgTg,229627,4
Can't Fight The Moonlight,LeAnn Rimes,spotify:track:2AogRMqARWyUP7VQ3gmSoY,0.628,0.834,6,-6.341,0,0.0497,0.403,0.0,0.051,0.626,97.865,audio_features,2AogRMqARWyUP7VQ3gmSoY,spotify:track:2AogRMqARWyUP7VQ3gmSoY,https://api.spotify.com/v1/tracks/2AogRMqARWyUP7VQ3gmSoY,https://api.spotify.com/v1/audio-analysis/2AogRMqARWyUP7VQ3gmSoY,215507,4
Herz an Herz,Blümchen,spotify:track:1X7654uBsdVKnZAqyIJT7y,0.51,0.962,5,-6.268,1,0.0537,8.04e-05,0.203,0.339,0.38,180.375,audio_features,1X7654uBsdVKnZAqyIJT7y,spotify:track:1X7654uBsdVKnZAqyIJT7y,https://api.spotify.com/v1/tracks/1X7654uBsdVKnZAqyIJT7y,https://api.spotify.com/v1/audio-analysis/1X7654uBsdVKnZAqyIJT7y,227040,4
She Bangs - English Version,Ricky Martin,spotify:track:1uPrIHgYztXSkkcts9jet8,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,audio_features,1uPrIHgYztXSkkcts9jet8,spotify:track:1uPrIHgYztXSkkcts9jet8,https://api.spotify.com/v1/tracks/1uPrIHgYztXSkkcts9jet8,https://api.spotify.com/v1/audio-analysis/1uPrIHgYztXSkkcts9jet8,280627,4
"Never Gonna Give You Up - 7"" Mix",Rick Astley,spotify:track:4EZz8Byhbjk0tOKFJlCgPB,0.745,0.893,10,-13.014,0,0.0363,0.0296,1.61e-05,0.0299,0.932,113.244,audio_features,4EZz8Byhbjk0tOKFJlCgPB,spotify:track:4EZz8Byhbjk0tOKFJlCgPB,https://api.spotify.com/v1/tracks/4EZz8Byhbjk0tOKFJlCgPB,https://api.spotify.com/v1/audio-analysis/4EZz8Byhbjk0tOKFJlCgPB,209893,4
Wake Me Up Before You Go-Go,Wham!,spotify:track:0ikz6tENMONtK6qGkOrU3c,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333,4
